date,lon,lat,ntl,vza
2024/1/1,110.1604167,20.04791667,31.90638733,4427
2024/1/1,110.1645833,20.04791667,31.97888374,4427
2024/1/1,110.1979167,20.04791667,44.37442017,4410
2024/1/1,110.2020833,20.04791667,28.60458565,4407
2024/1/1,110.3229167,20.04791667,48.25700378,4348
2024/1/1,110.3270833,20.04791667,48.47780991,4348
2024/1/1,110.33125,20.04791667,49.82189178,4344
2024/1/1,110.3354167,20.04791667,49.75237656,4344
2024/1/1,110.3395833,20.04791667,65.82093048,4341
2024/1/1,110.34375,20.04791667,43.02534485,4337
2024/1/1,110.3479167,20.04791667,41.82539368,4337
2024/1/1,110.3520833,20.04791667,39.00812531,4333
2024/1/1,110.35625,20.04791667,39.92926788,4333
2024/1/1,110.3604167,20.04791667,37.03362274,4330
2024/1/1,110.3645833,20.04791667,18.99589729,4330
